frame.number,frame.time,frame.len,tcp.len,eth.src,eth.dst,ip.src,ip.dst,ip.len,ip.proto,_ws.col.Info
"110","Feb 10, 2020 21:51:18.848646791 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
"111","Feb 10, 2020 21:51:18.848649798 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"112","Feb 10, 2020 21:51:18.848651859 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"113","Feb 10, 2020 21:51:20.808460234 IST","111","57","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","192.229.232.200","192.168.0.104","97","6","Application Data"
"114","Feb 10, 2020 21:51:20.808494676 IST","78","24","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","192.229.232.200","192.168.0.104","64","6","Application Data"
"115","Feb 10, 2020 21:51:20.808499758 IST","54","0","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","192.229.232.200","192.168.0.104","40","6","443 → 41338 [FIN, ACK] Seq=82 Ack=1 Win=294 Len=0"
"116","Feb 10, 2020 21:51:20.808568798 IST","54","0","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","192.229.232.200","40","6","41338 → 443 [ACK] Seq=1 Ack=83 Win=4972 Len=0"
"117","Feb 10, 2020 21:51:20.808659750 IST","54","0","98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36","192.168.0.104","192.229.232.200","40","6","41338 → 443 [FIN, ACK] Seq=1 Ack=83 Win=4972 Len=0"
"118","Feb 10, 2020 21:51:20.848084710 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.110 is at 98:22:ef:d5:cc:2f"
"119","Feb 10, 2020 21:51:20.848110611 IST","42",,"98:22:ef:d5:cc:2f","68:ff:7b:9c:eb:36",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f"
"120","Feb 10, 2020 21:51:20.848115410 IST","42",,"98:22:ef:d5:cc:2f","30:e3:7a:0d:3a:86",,,,,"192.168.0.102 is at 98:22:ef:d5:cc:2f (duplicate use of 192.168.0.110 detected!)"
"121","Feb 10, 2020 21:51:20.848785361 IST","42",,"98:22:ef:d5:cc:2f","30:4b:07:69:03:c0",,,,,"192.168.0.1 is at 98:22:ef:d5:cc:2f"
"122","Feb 10, 2020 21:51:20.852207066 IST","54","0","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","192.229.232.200","192.168.0.104","40","6","443 → 41338 [ACK] Seq=83 Ack=2 Win=294 Len=0"
"123","Feb 10, 2020 21:51:21.321798265 IST","97","31","68:ff:7b:9c:eb:36","98:22:ef:d5:cc:2f","52.20.208.148","192.168.0.104","83","6","Application Data"
